1047	2013-02-09 02:57:39	38
1057	2013-01-14 00:01:06	81
1063	2013-01-31 18:08:37	22
1067	2013-01-01 17:20:54	98
1082	2012-07-21 11:29:11	56
1091	2012-02-06 12:10:27	15
1097	2012-11-01 10:30:07	45
1108	2012-07-03 20:52:10	98
1157	2013-02-23 12:14:50	27
1174	2012-03-26 11:48:58	76
1176	2011-09-05 18:39:12	20
1191	2013-01-17 22:33:57	28
1208	2011-08-19 08:51:46	8
1223	2012-10-06 17:19:03	24
1263	2012-10-10 17:32:38	23
1270	2011-12-15 04:49:33	25
1277	2013-01-04 09:47:20	29
1282	2012-12-06 07:15:54	19
1294	2013-02-04 00:03:59	8
1299	2012-05-27 04:35:57	57
1322	2012-11-17 16:12:58	20
1325	2011-12-07 20:37:20	23
1383	2011-10-07 16:25:36	13
1420	2013-01-02 00:05:44	22
1490	2013-02-02 23:46:41	6
1517	2012-06-16 16:27:45	29
1520	2012-11-19 14:55:33	27
1574	2011-06-27 01:02:41	6
1587	2011-12-24 17:18:54	7
1608	2012-10-15 18:28:56	77
1630	2013-01-20 21:12:26	74
1631	2012-09-21 16:14:09	87
1637	2012-04-15 05:42:30	15
1649	2013-02-04 10:24:04	20
1650	2012-07-08 03:01:36	42
1652	2011-12-28 00:35:54	18
1693	2012-07-21 06:15:58	10
1713	2012-09-09 04:28:59	14
1739	2012-09-13 02:42:51	24
1744	2012-05-09 19:32:40	21
1747	2013-02-19 14:05:19	5
1749	2013-01-27 03:27:14	29
1750	2012-12-03 09:34:49	23
1757	2012-08-22 11:20:08	30
1784	2011-06-03 20:04:05	11
1793	2013-02-02 23:03:12	17
1800	2013-02-19 01:12:11	21
1875	2012-11-23 09:26:13	15
1879	2012-08-02 04:32:24	29
1891	2012-12-07 11:37:44	11
1895	2012-08-07 05:23:52	5
1915	2013-01-05 10:04:23	20
1939	2011-11-15 21:11:00	54
1966	2013-01-21 16:01:16	52
1967	2011-11-03 04:40:36	25
1970	2012-10-06 21:28:46	13
1987	2013-01-05 01:53:00	6
2002	2013-01-12 15:15:38	9
2029	2011-05-11 12:39:58	94
2033	2013-02-09 18:04:42	11
2066	2011-12-17 23:48:35	11
2067	2012-01-22 18:36:01	10
2128	2013-02-06 22:13:28	20
2131	2012-10-14 22:45:06	63
2155	2012-05-07 23:58:34	5
2191	2012-03-02 09:27:30	27
2196	2013-01-17 11:51:42	30
2226	2012-10-24 11:01:41	9
2228	2012-10-11 05:06:16	19
2238	2012-05-02 12:56:58	30
2239	2012-12-27 07:40:50	66
2250	2012-06-22 09:46:00	17
2252	2012-11-01 05:18:13	24
2296	2011-12-08 00:07:33	23
2310	2013-01-14 05:23:43	12
2311	2012-08-14 19:10:05	40
2322	2012-11-24 00:09:40	27
2327	2011-04-24 20:08:07	47
2331	2011-09-08 07:17:26	14
2337	2012-11-06 05:59:02	9
2442	2012-10-21 13:41:23	7
2462	2012-02-19 20:11:58	7
2464	2012-07-06 17:41:59	99
2487	2011-09-23 23:39:36	11
2490	2012-06-26 11:09:45	10
